name,descriptions,rel_aesthetics,key_colors,brands
Internet Awesomesauce,,"2010s Internet,Busukawaii,Dollar Store Vernacular,Gamercore,Hipness Purgatory,MLG,Neo-Pop,LOLcore,Old Memecore,Old Web,Pop Art,Scene,Superflat Pop,Synthwave,Vaporwave",Rainbow,
Cagole,"Cagole ,fashion doesn't differ much from the usual 2000s bimbo fashion. Hair is long, straightened and either of a natural colour or dyed blond. Tanned, hairless skin is the norm - it is often covered in thick foundation mismatching the wearer's carnation, giving it that infamous cakey look. Concerning makeup, blue or white eyeshadow is associated with a kohl liner, and lips are over-lined with a nude lip pencil. Jewelry is common: garish necklaces, ear hoops and philtrum piercings to name but a few items.
,Clothing is revealing, with little cleavage coverage, low cuts and sometimes exposed underwear. Regular outfits frequently include the following: pencil skirts, skinny jeans, yoga pants, leopard fur patterns, tight dresses, tank tops, stiletto heels, fur boots.
,Lifestyle,[,]","Chav,Choni,Gyaru,McBling,Racaille,Raxet",Light purpleish pinks; mallow; deep red,
Anti-Fashion,"Anti-Fashion applies to many trends, but anything in the trend made ,avant-garde, or misused can work. The feel of the trend without the effort usually involves some element of drugs or carelessness.  Anti-Fashion is, more of then than not, done to completely go against established fashion trends until the fashion world, eventually, co-opts the fashions of the Anti-Fashion world and attempt to make it trendy and cool, which inevitably forces the Anti-Fashion world to evolve and change.
,Gallery,[,]","Avant-garde,Club Kids,Grunge,Normcore,Punk",,
Antique Grunge,"Antique grunge typically incorporates fashion pieces more popular in past eras such as:
,Corsets,
,Rosaries,
,Pearls,
,Discolored lace,
,Worn silk,
,Ribbons,
,High heels,
,Aged silver jewelry,
,Fabric that has thinned or stretched over time,
,Bracers, especially if it matches a corset,
,Torn stockings,Similar aesthetics,[,]","Delicate Sweet,Fairycore,Grunge,Kinderwhore,Morute,Retro-Futurism,Rusticcore,Steampunk,Vintage,Wabi-Sabi","Brown, grey, black, dark green, dark yellow, red, gold, white",
Anoncore,,"Sadpeople, ,Captchacore,Hideakicore,Traumacore, ,Yami Kawaii, ,Weirdcore",any,
Neko,"Neko fashion can range from ,E-Girl, to ,Kawaii Gamer, to ,Pastel Goth, to ,Softie,. It commonly involves:
,Cat ear headbands or clips with fluff in them,
,Cat tails,
,Chokers/collars (often with either bell or heart ring),
,Bows and ribbons (often attached to chokers or the cat-ears),
,Small bells (often attached to chokers or the cat-ears),
,Over-sized pom-pom hoodies and sweaters,
,Woolen coats,
,Maid dresses,
,Long fluffy gloves,
,Big fluffy mittens that resemble paws,
,Long stockings with cat-like patterns or shapes, or with paws on the bottom,Neko fashion often intersects with ,Lolita, and ,Maidcore, because of the dresses utilized.
,History,[,]","Animecore,Anime New Moon,Erokawa,Moe Swag,Sanriocore,Yume Kawaii,Related aesthetics,Femboy,Softboy","Pink, lilac, yellow, rose gold, gold, black",
Necrotrap,,"Balkan Violence Tumblr,Drain,Edgy Meme,Emo,Gorecore,Grotesque,Hatecore,Hip-Hop,Larpercore,Paramilitary,Ragecore,Revcore,Sigilkore,Terrorwave,Violencecore","Black, red, white",
Nazi Chic,"Nazi Chic fashion often borrows heavy elements from Nazi fashion (thanks in part to individuals like Hugo Boss and Coco Chanel and their ties to the Nazi Party) of the day and make nods to the many ""accomplishments"" of the Nazi Party during their run in the 30's and 40's, but it's surprisingly become popular in Asian countries, especially in Japan and Hong Kong (which, given the fact Japan were allies of the Nazis in World War II, it's not too surprising they might still show sympathies to them in the modern era).  Often times, though, the Nazi Chic aesthetic is merely used in cosplay to invoke the look of a particular character who might be a stand-in for the evils of fascism in a particular work (this is more commonly done in the realm of anime and manga due to the full scope of what the Nazis did not really being taught in Japanese high schools, along with some of the more evil elements of Japan's actions during the same time like The Nanking Massacre).
,Media","Fashwave,Military","black, red, white",
Nautical Fantasy,,"Nautical,Fantasy,Mermaidcore,Selkiecore,Ocean Academia,Ocean Grunge,Dark Nautical,Dark Academia,Light Academia,Pirate,Seapunk,Oceanpunk,Steampunk","Blue, green, brown, grey, metallic tones, bronze",
Paramilitary," 	, 	, 	, 		 			, 		 		 		 			,Soldiers from Azov battalion in the Mariupol, 2014., 		 	, ,Uniform/kit that looks more of a ""SWAT/Ninja"" operator than a soldier.
,Fingerless gloves.,
,Knee/Elblow pads.,
,Velcro tabs.,
,Tactical vests and body armour.,
,Belt kit.,
,Rigger belts.,
,Black/Grey/Urban camo tactical clothing.,
,Flat soled tactical boots.,Stores,[,],Techwear Army,
,blackhawk.com,
,rothco.com,
,ufpro.com,
,tacticalgear.com,
,tactsquad.com,Media,[,]","Cargopunk,Cyberpunk,Necrotrap,Northern Irish Muralism,Larpercore,Tacticool,Techwear","Black, Grey, Gunmetal, Urban Camo",
Paleocore,"Paelocore fashion tends to have a muted color scheme of greens, browns and tans. Similar to ,Junglecore,, clothing is worn for protection, ease of movement, and breathability. Comfort is key and so it efficiency. However, one can have fun with aesthetic and used dinosaur and nature-related prints and patterns. Below is a list of possible articles to wear:
,Button up shirts
,Short and long sleeved,
,Hawaiian shirts,
,Rucksacks,
,Khaki pants and shorts,
,Sun hats,
,Sunglasses,
,Hiking boots,
,Steel-toed boots,
,Long socks,
,Cloth and faux leather belts,
,Walking sticks,
,Media,[,]","Adventurecore,Cryptidcore,Cyberparadism,Dinocore,Junglecore,Natural Philosophy,Prehistoricore,Science Academia,Vulture Culture","Green, beige, tan, red, yellow and orange",
Palewave,"Palewave is centered on pastel, light and muted colors. These colors include mushroom, stormy sky, bark, limestone, sand, olive, fawn, deep sea, light pink, and more. Aside from the from the pastel color spectrum, white and grey can also be used to palewave. These colors naturally give off a very chill and relaxed vibe. 
,Try as much as possible to avoid the common black that goes against the palewave style. 
,Basic Tees in pale/muted, colors: Palewave shirts should be of subtle patterns and minimal prints, loose fits and more. Common colors are white, cream, beige, light pink and light blue.,Pants / Lightwash Jeans,. Your pants can be light wash denim, joggers, linen trousers, chambray shorts, and more. Lightwash jeans are crucial to the palewave look. Get a nice skinny pair and then maybe a baggier pair to roll up for a cropped effect. Also consider some lightwash or white denim shorts.,Low Profile White / Light Sneakers,. Possibly the most important item. These will be your beaters so choose wisely. Cheaper options for this are Stan Smiths and Vans Old Skools. For a higher quality option go for ,Common Projects Achilles Lows,.,Sand/Beige Bomber,. This will be your light jacket for the spring/summer nights. It works well with everything mentioned above and fits the aesthetic perfectly. These can be had at the likes of HM, Topman, and Zara for cheap.,Sweatshirts / Hoodies,. For those summer nights or chillier summer days nothing looks better with the palewave look than a light colored comfy hoodie or sweatshirt. Grey, sand, light blue and light pink are the most palewave colors for sweatshirts.,Media,[,]","Normcore,Vaporwave","Magenta, pink, blue, purple, cyan, black","Our Legacy, Norse Projects, A Kind Of Guise, Engineered Garments, Clarks"
Selkiecore,"As you may have noticed, many aesthetics divide the fashion category into ""men's"" and ""women's"" but don't feel restricted to one category or the other. You're welcome to pick and choose pieces from each for your personal look.
,Fem,[,],Long, simple dresses,
,Scarves,
,Shawls,
,Sea-like hair accessories,
,Sea-like jewelry,
,Seal coats,
,Dark swimwear,
,Leather boots,
,Scottish/Irish dress clothes,Masc,[,],Button-up dress shirts,
,Dark trousers,
,Seal coats,
,Dark swimwear,
,Leather boots,
,Scottish/Irish dress clothes,Media,[,]","Dark Nautical,Ocean Grunge,Nautical,Neo-Celtic,Dark Fantasy,Northerness","colder sea colors, and seal colors",
Seiz Breur,,"Arts and Crafts Movement,Art Deco,Avant-garde,Folk Punk,Medieval,Modernism,Neo-Breton Style,Neo-Celtic,New Age,Pont-Aven School,Romanticism,Selkiecore","Black, white, light green, red, yellow",
Sega Uranus,,"Cybercore,Gamercore,Nostalgiacore,Nintencore,Silicon Dreams","White, black and blue",
Seapunk,"The style originated in 2011 as a trend on the micro-blogging platform Tumblr. The music is an edgy mix of modern-day electronic music, with heavy influences from the 2000s. This crossover continues into the fashion, which is generally uses nautical/aquatic imagery, such as marine life and palm trees composed of pastel and/or neon colors, primarily variations on cyan/teal, lavender, and pinks, and contains many symbols prominent during the 2000's such as yin and yang symbols and smiley faces. Other seapunk staples include:
,3D computer imagery from the 2000s, often geometric with reflective surfaces,
,Vibrant depictions of water, both surface and submerged,
,Circle-lens sunglasses,
,Goth,/,Pastel Goth, influence (crosses, spikes, etc.),
,Bright/pastel-colored hair, often worn in styles popular during the 2000s.,
,Vibrant lip color,
,Holosexual, aesthetics,Music,[,]","Biopunk,Club,Cybercore,Cyberdelic,Cyberpunk,Future Funk,Glowwave,Hip-Hop,Holosexual,Hyperpop,Icepunk, (subgenre),Mermaid,Mizuiro,Nautical,Ocean Grunge,Oceanpunk,Pastel Grunge,Poolcore,R&B,Reefwave,Scene,Slimepunk,Trillwave,Tropical,Vaporwave,Witch House","Blue, green, purple, teal, cyan",
Scrapper,"Fashion for scrappers can be vague yet minimal. The most agreed upon aspect of scrapper fashion is freedom of movement and effectiveness in combat. This can include:
,Hand wraps/bandages,
,Tank tops,
,Mesh shorts,
,Leggings,
,Sweatpants and sweatshirts,
,Combat boots,
,Tennis shoes,
,Body tape,
,Logo shorts,Visuals,[,]","Americana,Bastardcore,Brocore,Chav,Eshay,Greaser,Grunge,Riotwave","Red, black, white, gold",Venum
Scrapbook,,"Art Academia,Art Hoe,Craftcore,Bubble Bujo,High School Dream,Hipness Purgatory,Kawaii,Kidcore,Lovecore,Rainbowcore,Sparklecore,Tweencore,VSCO","Any, depending on the aesthetic",
Scottish Highlands,,"Naturecore,Neo-Celtic,Earthcore,Gloomcore,Adventurecore,Wetcore","Green, Grey, Brown, Orange, Black",Highland Soap Company
Winter Fairy Coquette,"Winter Fairy Coquette emphasizes using multiple textures in one outfit. Fur is of course ubiquitous, and lace, cable knit, chiffon, deconstructed knits, and suede are often included. Layering these different textures makes the outfit more interesting to make up for the limited color palette.
,One of the fashion's main characteristics is styling clothes that are too short and light for winter with winter accessories. For example, many outfits in the aesthetic feature women in snow while wearing short tennis skirts. 
,Tops, Bottoms, and Dresses,[,],Mini dress, midi dress,
,Nightgowns,
,Tennis skirts,
,Turtlenecks,
,Crop tops (most commonly tank tops),Accessories,[,],Corsets,
,Earmuffs,
,Leg warmers,
,Mittens,
,Scarfs,
,Stockings,
,Ripped tights,
,Arm Warmers,
,Pearl Bracelets,Hats,[,],Ski hat,
,Cossack,
,Trapper hat,
,Pom pom hats,Outer Garments,[,],Cardigan,
,Fleece jacket,
,Fur coats,
,Parka,Shoes,[,],Knee high winter boots,
,High platform,
,Mary Jane,
,Creeper shoes,
,Moon boots,
,Fluffy boots (not specifically winter boots),Textures and Miscellaneous,[,],Lacy clothing,
,Puffy, fur-like clothing,Criticism,[,]","Avant Apocalypse,Comfy/Cozy,Coquette,Delicate Sweet,Fairy Grunge,Gopnik,Icepunk,Kinderwhore,Mori Kei,New Spanish Catholic Girl,Snow Bunny,Softie,Waif,Winter","white, pastel pink, pastel blue, beige, light brown",
Tropicalcore,,"Gyaru,Helvetica Aqua Aero,Key West Kitten,Mermaid,Tropical","Light Blue, pink, yellow",
Tropical,"Tropical fashion can go in any multitude of directions, but it's generally agreed upon that Tropical clothing is usually very lightweight and breezy.
,For younger people, there might be a nod towards the Surfer look, such as oversized t-shirts, beach waves, beach bags, and a carefree attitude. These characteristics also tie into stereotypical surfer vibes, which are a large sum of the origin of this aesthetic. Many women may opt for swimsuits or bikinis or even wetsuits if they are also surfers.
,For the more well-to-do, there is Resort wear ,(also known as cruise wear), is a fashion style that was initially only for customers of affluence who would travel abroad around Christmas and New Year's to warmer climates, but has since become a more common fashion aesthetic with the increase of both volume and accessibility in air travel. Resort wear is signified by its lightweight material, ease of cleaning, and don't need to be ironed at all. The look of resort wear can include a ,Nautical, theme, Hawaiian prints, Mediterranean colors, and overall bright floral patterns combined with oversized hats, sunglasses, swimsuits, and open-toed shoes. Despite the ease of access to Resort wear for regular people, it can still be a signifier of relaxation, affluence, appreciation of nature, and a sharp sense of style. Even though there are stores that specialize in Resort wear (like Banana Republic, J. Crew, and Tommy Bahama), individual fashion houses will still create Resort wear lines in their individual collections (like Chanel, Prada, Marc Jacobs, and Michael Kors).
,For older men, there is the ,Vacation Dadcore, aesthetic, while older women may identify with the ,Coastal Grandma, lifestyle.
,Like its visual elements, the fashion of the tropical aesthetic is also inspired by traditional culture. For example, the flower necklaces commonly worn in the aesthetic are Lei that originated from Austronesian people. 
,Common clothing elements from Tropical aesthetics include:
,Colours: White, brown, green and beige,
,Seashell jewelry,
,Swimwear and beachwear,
,Crochet clothes,
,Second-hand clothes,
,Thin and flowy fabrics,
,Lei (Flower necklace),
,Straw hats,
,Leaves and flowers,
,Long, salty hair,
,Hawaiian shirts,
,Tan skin,Decor,[,]","Beach Day, (subgenre),Bohemian,Chicha,Frutiger Aero,Heatwave,Nautical,Ocean Grunge,Pirate,Poolcore,Reefwave,Seapunk,Summer,Tomato Girl Summer,Tropicalcore,Tropical Disco,Vacation Dadcore","Green, blue, red, orange, yellow, purple, white, cyan","Bohemian Diesel, This Island Life, Spell.co, Island Boutique, Tommy Bahama, Billabong, Roxy/Quicksilver"
Tropical Disco,,"Cartelcore,Club,Disco,Frutiger Metro,Miami Metro,Raver,Synthwave,Tropical,Vaporwave,Visual Pollution","Fuchsia, black, orange, blue, rainbow and neon tones",
Tupinipunk,"Under Construction,
,Written,[,]","Afrofuturism,Cyberpunk,Nanopunk",,
Trendercore,,"Pride flags,Queer Academia,Queercore,Scene",,
Trillwave,,"Chromecore,Cleancore,Corporate,Cybercore,Cyberparadism,Emo,Erokawa,Frutiger Aero,Gangstæxtemism,Heisei Retro,Hip-Hop,Holosexual,Icepunk,Junglecore,Lo-Fi,LOLcore,Minimalism,Mizuiro,Moe Swag,Nerdcore,Nostalgiacore,Old Web,PC Music,Poolcore,Post-Punk,R&B,Seapunk,Skeuomorphism,Slimepunk,Terrorwave,Technoneko2000,Vaporwave,Witch House,Xpiritualism,Zen Tranquility","Purple, pink, aqua, cyan, green, yellow, orange, red","FIJI, Nike, Soundcloud, Adidas, Backwoods, Microsoft Windows, Playstation, Nintendo, Xbox, Pokemon, Grand Theft Auto, Sprite, Bandcamp"
Tumblewave,,"Country,Vaporwave",,
Zenitism,,"Avant-garde,Bauhaus,Constructivism,Cubism,Expressionism,Futurism,Signalism,Urbancore","Black, white, gold, red",
Zombie Apocalypse,,"Cargopunk,Coffinwood,Dullcore,Grime Art,Grunge,Military,Paramilitary,Post-Apocalyptic,Soggy","Faded and dull colors, reds, greens, purples, teals, pinks",
Youthquake,,"Hippie,Mod,Teddies",,
Yume Kawaii," 	 , 	, 	, 		,	, ,  	 	, 		 			, 		 		 			,Genres of Kawaii Yume Kawaii, 		 		 	, ,Yume Kawaii fashion includes feathers, frills, ribbons, and other fluffy materials in its looks. The outfits usually consist of printed tops with a sailor collar, sheer jackets, poofy skirts or pants, loose socks, and platform shoes. Sleeping mask headdresses and pillow bags are also popular.  
,While ,Fairy Kei, emits a vintage, retro kind of ,kawaii,, Yume Kawaii covers many modern styles and features lots of motifs related to Japanese pop culture, such as magical girls, strawberry milk, and conpeitou.
,The hair is often bleached and dyed to archive high tones like milk tea, pastel pink, and lavender; but wigs in fluffy styles are also very common.
,There are many circle lenses, glitter under the eyes, and very pop impressions. And there is an important element: the ""sleepy"" look. People achieve this look by applying an excessive amount of blush under their eyes.
,Media,[,]","Animecore,Babycore,Decora,Denpa,Dreamy,Dual Kawaii,Fairy Kei,Harajuku Fashion,Kawaii,Magical Girls,Mizuiro,Pastel,Unicorncore,Yami Kawaii",Pastels,
Zen Tranquility,,"Cleancore,Cybercore,Cyberparadism,Dreamcore,Dreamy,Frutiger Aero,Frutiger Eco,Helvetica Aqua Aero,Lo-Fi,Naturecore,★,New Age,★,Orientalism,Printcore,Technozen,Tiki,Tropical,★,Ukiyo-e",,
Yellow Academia,"Yellow Doc Martens,
,White Doc Martens,
,Yellow stripy shirts,
,Star themed jewellery,
,Yellow Sundresses,
,Dungaree's,
,Gold Jewellery,
,Hufflepuff themed clothes,
,Yellow skirts,
,White shirts,
,Tan sweaters,
,Warm clothes,Media,[,]","Autumn Academia,Classic Academia,Floral Academia,Green Academia,Light Academia,Red Academia","Yellow, white, beige, tan, cream",
Yé-yé Girl,"The ,Yé-yé Girl Fashion, was all about social rebellion and modernization: at the time, western societies started to become less restrictive of women's fashion. So, Yé-yé fashion included innovative feminine fashion elements like miniskirts, tight dresses, and bold colours. Hairstyles were also an important part of the typical Yé-yé look: they often featured long bangs covering the forehead, and the hairstyles in general typically included long straight hair, ponytails, bob hairs or beehive cuts. In fact, long bangs were so popular within the Yé-yé subculture that some adults nowadays still associate them with it. Makeup was also an important part of the general look, as it was becoming more socially acceptable. The fashion style associated with Yé-yé could be described as 'effortlessly chic'., ,
Some of the most suggested features of Yé-yé fashion include:
,Short skirts and dresses,
,Tight clothing,
,Bold colors,
,Miniskirts,
,Breton-striped shirts,
,A-line dresses,
,Shift dresses,
,Turtlenecks,
,Knee-high boots,
,Mary Jane shoes,
,Cat-eye sunglasses,
,Headbands,
,Bow ties,
,Long bangs,
,Long straight hair,
,Beehive cuts,
,Short bobs or ponytails,
,Makeup, mainly focusing on the eyes and lips,Yé-yé Boys,[,]","Beatnik,City Pop,Flapper,French It Girl,Hippie,Mod,Pop Art,Rock,Shibuya Kei","Red, pink, yellow, orange, green",
Yōkai,,"Monstercore,Spiritcore,Ukiyo-e,Horror","Red, black, dark blue, green",
Yami Kawaii," 	 , 	, 	, 		,	, ,  	 	, 		 			, 		 		 			,Genres of Kawaii Yami Kawaii, 		 		 	, ,While there are many ways that Yami Kawaii can be integrated into fashion, the most common seem to be dark casual outfits featuring motifs with opposing elements, like cute animals with negative texts, in the form of prints. There are also many medical accessories such as Band-Aid hair clips, syringe necklaces, and pill bracelets due to the nature of the aesthetic.  
,Makeup is worn regardless of gender in Yami Kawaii in order to archive a sickly look by applying pink or red blush right under the eyes instead of the traditional use on the apple of the cheeks, and is often further exaggerated by enchanting the natural eye bag line. Lips are usually kept very simple but gradients are also very popular.
,Media,[,]","Animecore,Drugcore,Dual Kawaii,Harajuku Fashion,Jirai Kei,Medicalcore,Morute,Pastel Goth,Sadpeople,Traumacore,Yume Kawaii,Kimoicore,Denpa Kei,Kuromicore","Black, red, pink, purple",
Yandere,,"Animecore,Cutecore,Erokawa,Gesugao,Gurokawa,Mind Murder,Nanchatte Seifuku,Traumacore,Yami Kawaii","Pink, red, white, black",
Yakuza,"Under Construction,
,Music,[,]","Drugcore,Italian Mafia,Cartelcore","Greyscale colours, red, blue, yellow",
Yanki," 	, 	 	, 		 			, 		 		 		 			,Cosplayers wearing Yankii and Bosozoku outfits. Blue sukajan is worn top-center, black gakuran top-left, and tokku-fuku along the bottom., 		 	, ,Chouran and other altered school uniforms,
,Sukajan,
,""Tokku-fuku"" (特攻服), also worn by ,Bosozoku,
,Tattoos,
,Swastika (Buddhist symbol),
,Miniskirts (women),
,Pompadour and other ,Greaser, hairstyles,
,Typically gel-thick with black color,
,Red or blonde dyed hair is also popular,
,Shaved eyebrows,Substyles,[,]","Bosozoku,Sukeban,Greaser,Yakuza,Bankara","black, yellow, white",
Y2K,,"Barbiecore,Blingeecore,Cheiron Crush,Cybercore,Cyber Fairy Grunge,Cyber Stylin',Dark Y2K,FantasY2K,Gen X Soft Club,Liminal Space,McBling,MTV Green Sky,Nostalgiacore,Old Web,Scene,Surf Crush,So Retro,Synthwave,Technoneko2000,UrBling,2000s Autumn,2K1,2K7",,
Xpiritualism,,"Animecore,Arabfunny,Blingeecore,Captchacore,Cybercore,Cyberspace Webrooms,Denpa,Digital Oddity,Dollar Store Vernacular,Drain,Edgy Meme, and similar,Fotonight Web, (subgenre),Frutiger Aero,Neo-Tribal,Old Web,Randumb,Raver,Scene,Sextrance,Shanzhai,Sigilkore,Skeuomorphism,Slimepunk,Trashy Raver,UrBling,Weirdcore",,
XO,,"Dark Nymphet,Drugcore,Grunge,Indie Sleaze,Pale Grunge,Party Animal,Sadpeople,Stripcore","Black, White, Greyscale, Yellow, Red, Blue",
Witchy Academia,"Witchy academia fashion takes some inspiration from ,Dark Academia,  and ,Witchcore,. Fashion styles will vary by type of witch. One should note that, although the witchy academia aesthetic is not necessarily dark, it frequently is.
,Translucent black blouses,
,Black dresses,
,Dark coloured turtlenecks,
,Cable-knit sweaters,
,Blazers,Skirts
,Maxi, pencil skirts, school-girl,
,High-rise trousers,
,Pinafores,
,Maxi dresses,Pea coats,
,Cloaks, ponchos, and shawls,Dark, solid coloured tights,
,Boots
,Dr. Martens, platform, heeled, Chelsea, ankle height, etc,
,Mary Janes,Gloves,
,Belts,
,Satchels,
,Wide brimmed hats,
,Chokers,
,Round, tinted sunglasses,Media,[,]","Dark Academia,Darkest Academia, ,Light Academia,Studyblr,Studyplace,Witchcore","Black, neutrals, earth tones, muted hues of any colors",
Wota,,"Animecore,Itasha,Girly (Japanese),Otaku,Ryousangata Otaku, (Personal Aesthetics Wiki)",,
